year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,53.1,1,52.5,1,4,continuous,continuous,,1,,
2014,28,1,28,0,,continuous,continuous,,1,,
2014,23,1,24.5,0,,continuous,continuous,,1,,
2014,53.3,1,52.5,1,10,continuous,continuous,,1,,
2014,50.3,1,52.5,1,2,continuous,continuous,,1,,
2014,,1,8,0,,,continuous,,1,,
2014,59.3,1,59.3,1,2,continuous,continuous,,1,,
2014,61.3,1,63,1,14,continuous,continuous,,1,,
2014,16.5,1,19.5,0,,continuous,continuous,,1,,
2014,18.3,1,22,0,,continuous,continuous,,1,,
2014,72.3,1,72.5,1,17,continuous,continuous,,1,,
2014,68.1,1,68,1,19,continuous,continuous,,1,,
2014,75,1,75,1,18,continuous,continuous,,1,,
2014,26.6,1,26.6,0,,continuous,continuous,,1,,
2014,55.4,1,55,1,18,continuous,continuous,,1,,
2014,53.1,1,53.5,1,12,continuous,continuous,,1,,
2014,61.7,1,63,0,16,continuous,continuous,,1,,
2014,78.1,1,78,1,16,continuous,continuous,,1,,
2014,48.3,1,48,1,1,continuous,continuous,,1,,
2014,56.8,1,57,1,14,continuous,continuous,,1,,
2014,48.1,1,55,1,5,continuous,continuous,,1,,
2014,67.6,1,68.5,1,23,continuous,continuous,,1,,
2014,80.1,1,80,1,26,continuous,continuous,,1,,
2014,81,1,78,1,33,continuous,continuous,,1,,
2014,64.6,1,64,1,18,continuous,continuous,,1,,
2014,58.6,1,52,1,11,continuous,continuous,,1,,
2014,47.9,1,50,1,11,continuous,continuous,,1,,
2014,51.7,1,60,1,12,continuous,continuous,,1,,
2014,51.6,1,52,1,11,continuous,continuous,,1,,
2014,46.2,1,47,1,12,continuous,continuous,,1,,
2014,43.1,1,41.5,1,8,continuous,continuous,,1,,
2014,51.7,1,50.5,1,7,continuous,continuous,,1,,
2014,62.5,1,56.5,1,18,continuous,continuous,,1,,
2014,75.3,1,74,1,23,continuous,continuous,,1,,
2014,59.3,1,59.3,1,16,continuous,continuous,,1,,
2014,40,1,40,0,,continuous,continuous,,1,,
2014,81.5,1,83,1,20,continuous,continuous,,1,,
2014,65,1,64,1,14,continuous,continuous,,1,,
2014,10.8,1,10.8,0,,continuous,continuous,,1,,
2014,68,1,70,1,14,continuous,continuous,,1,,
2014,69.9,1,67,1,6,continuous,continuous,,1,,
2014,63,1,60,1,16,continuous,continuous,,1,,
2014,57,1,55,1,1,continuous,continuous,,1,,
2014,54.1,1,50.5,0,,continuous,continuous,,1,,
2014,24.3,1,25,1,4,continuous,continuous,,1,,
2014,12.2,1,22,0,,continuous,continuous,,1,,
2014,21.3,1,23,1,4,continuous,continuous,,1,,
2014,18.9,1,14.5,1,4,continuous,continuous,,1,,
2014,50.5,1,51.5,0,,continuous,continuous,,1,,
2014,72,1,71,0,,continuous,continuous,,1,,
2014,57.7,1,55.5,1,11,continuous,continuous,,1,,
2014,16.5,1,16.5,0,,continuous,continuous,,1,,
2014,72.3,1,70.8,1,10,continuous,continuous,,1,,
2014,65,1,65.1,1,9,continuous,continuous,,1,,
2014,74.1,1,70.7,1,22,continuous,continuous,,1,,
2014,33.8,1,34.2,0,,continuous,continuous,,1,,
2014,55.5,1,66,1,3,continuous,continuous,,1,,
2014,61.7,1,61.3,1,8,continuous,continuous,,1,,
2014,85.6,1,84,1,28,continuous,continuous,,1,,
2014,83.8,1,82.5,1,19,continuous,continuous,,1,,
2014,50.6,1,49.8,1,10,continuous,continuous,,1,,
2014,72.9,1,72.7,1,12,continuous,continuous,,1,,
2014,82.4,1,83.1,1,14,continuous,continuous,,1,,
2014,51.4,1,50.2,1,6,continuous,continuous,,1,,
2014,39.1,1,40,0,,continuous,continuous,,1,,
2014,59.8,1,59.9,1,7,continuous,continuous,,1,,
2014,70.4,1,69.7,1,33,continuous,continuous,,1,,
2014,67.1,1,62.3,1,25,continuous,continuous,,1,,
2014,74.1,1,75,1,18,continuous,continuous,,1,,
2014,69,1,70,1,21,continuous,continuous,,1,,
2014,52.7,1,52.1,1,6,continuous,continuous,,1,,
2014,91.2,1,88.1,1,28,continuous,continuous,,1,,
2014,71.4,1,71,1,15,continuous,continuous,,1,,
2014,16.1,1,19,0,,continuous,continuous,,1,,
2014,67.2,1,66,1,20,continuous,continuous,,1,,
2014,65.5,1,65,1,4,continuous,continuous,,1,,
2014,59.6,1,55,1,2,continuous,continuous,,1,,
2014,39,1,40,0,,continuous,continuous,,1,,
2014,66,1,61,1,13,continuous,continuous,,1,,
2014,,,6.1,0,,,continuous,,1,,
2014,68,1,68,1,18,continuous,continuous,,1,,
2014,72,1,72,1,17,continuous,continuous,,1,,
2014,75.8,1,73,1,15,continuous,continuous,,1,,
2014,59.1,1,56,1,6,continuous,continuous,,1,,
2014,68.7,1,68.5,1,10,continuous,continuous,,1,,
2014,72.8,1,73,1,21,continuous,continuous,,1,,
2014,66.5,1,67,1,6,continuous,continuous,,1,,
2014,75.1,1,73,1,12,continuous,continuous,,1,,
2014,66.6,1,67,1,14,continuous,continuous,,1,,
2014,57.6,1,59,1,6,continuous,continuous,,1,,
2014,83.7,1,83,1,26,continuous,continuous,,1,,
2014,83,1,83.5,1,14,continuous,continuous,,1,,
2014,68,1,64,1,14,continuous,continuous,,1,,
2014,50,1,50.5,1,5,continuous,continuous,,1,,
2014,45.8,1,46,1,3,continuous,continuous,,1,,
2014,29.3,1,26,0,,continuous,continuous,,1,,
2014,57.4,1,58,1,13,continuous,continuous,,1,,
2014,66.6,1,68.4,1,8,continuous,continuous,,1,,
2014,52.3,1,52.7,1,8,continuous,continuous,,1,,
2014,92,1,86.5,1,19,continuous,continuous,,1,,
2014,57.7,1,56,1,7,continuous,continuous,,1,,
2014,49.7,1,49.7,1,16,continuous,continuous,,1,,
2014,49.9,1,52,1,10,continuous,continuous,,1,,
2014,49.5,1,50.5,1,4,continuous,continuous,,1,,
2014,75.6,1,75,1,23,continuous,continuous,,1,,
2014,84.2,1,84,1,25,continuous,continuous,,1,,
2014,53.6,1,53.6,1,12,continuous,continuous,,1,,
2014,73.3,1,74,1,28,continuous,continuous,,1,,
2014,78.3,1,79,1,25,continuous,continuous,,1,,
2014,49.6,1,50,1,6,continuous,continuous,,1,,
2014,73.1,1,72,1,12,continuous,continuous,,1,,
2014,79,1,76,1,17,continuous,continuous,,1,,
2014,87.7,1,80,1,40,continuous,continuous,,1,,
2014,72.3,1,74,1,24,continuous,continuous,,1,,
2014,76.1,1,73.8,1,21,continuous,continuous,,1,,
2014,90.3,1,86.8,1,23,continuous,continuous,,1,,
2014,55.3,1,55.1,1,17,continuous,continuous,,1,,
2014,65.3,1,65.4,1,24,continuous,continuous,,1,,
2014,55.2,1,54.5,1,10,continuous,continuous,,1,,
2014,67,1,67,0,,continuous,continuous,,1,,
