year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,28.8,1,34.3,0,,continuos,continuos,,,,
2014,31,1,29.1,0,,continuos,continuos,,,,
2014,20,1,21.3,0,,continuos,continuos,,,,
2014,31.1,1,29.1,0,,continuos,continuos,,,,
2014,27.7,1,32,0,,continuos,continuos,,,,
2014,36,1,34.1,0,,continuos,continuos,,,,
2014,25.9,1,27.4,0,,continuos,continuos,,,,
2014,8.2,1,10,0,,continuos,continuos,,,,
2014,34.3,1,41.7,1,3,continuos,continuos,,,,
2014,24,1,22.7,0,,continuos,continuos,,,,
2014,10,1,9.2,0,,continuos,continuos,,,,
2014,18.2,1,22.5,0,,continuos,continuos,,,,
2014,41.7,1,47.1,1,4,continuos,continuos,,,,
2014,10.8,1,17.3,0,,continuos,continuos,,,,
2014,16,1,18.7,0,,continuos,continuos,,,,
2014,6.3,1,8.7,0,,continuos,continuos,,,,
2014,23.3,1,25,0,,continuos,continuos,,,,
2014,13.1,1,17,0,,continuos,continuos,,,,
2014,6,1,8.5,0,,continuos,continuos,,,,
2014,25,1,29.2,0,,continuos,continuos,,,,
2014,25.4,1,29.3,0,,continuos,continuos,,,,
2014,12.1,1,13.7,0,,continuos,continuos,,,,
2014,14.5,1,18.5,0,,continuos,continuos,,,,
2014,10,1,9.9,0,,continuos,continuos,,,,
2014,27.4,1,33,0,,continuos,continuos,,,,
2014,35,1,38,0,,continuos,continuos,,,,
2014,15,1,19.2,0,,continuos,continuos,,,,
2014,46.4,1,50,1,13,continuos,continuos,,,,
2014,41.8,1,44.5,1,10,continuos,continuos,,,,
2014,11,1,16,0,,continuos,continuos,,,,
2014,15.1,1,19,0,,continuos,continuos,,,,
2014,10,1,9.9,0,,continuos,continuos,,,,
2014,6.2,1,8.7,0,,continuos,continuos,,,,
2014,24.8,1,27.4,0,,continuos,continuos,,,,
2014,12,1,11,0,,continuos,continuos,,,,
2014,12,1,12,0,,continuos,continuos,,,,
2014,38.3,1,36.6,0,,continuos,continuos,,,,
2014,12,1,15.3,0,,continuos,continuos,,,,
2014,20.1,1,21.8,0,,continuos,continuos,,,,
2014,16,1,18.4,0,,continuos,continuos,,,,
