year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,46.1,1,48,1,3,continuous,continuous,,1,,
2014,57,1,57,1,7,continuous,continuous,,1,,
2014,27.3,1,28.7,0,,continuous,continuous,,1,,
2014,23.2,1,25,0,,continuous,continuous,,1,,
2014,40.9,1,42,1,8,continuous,continuous,,1,,
2014,54.4,1,55,1,1,continuous,continuous,,1,,
2014,60,1,56.9,1,16,continuous,continuous,,1,,
2014,54.6,1,54,1,10,continuous,continuous,,1,,
2014,64,1,68.5,1,24,continuous,continuous,,1,,
2014,68.3,1,60.7,1,24,continuous,continuous,,1,,
2014,48.3,1,47.7,1,4,continuous,continuous,,1,,
2014,66.4,1,66.4,1,6,continuous,continuous,,1,,
2014,54.9,1,55,1,7,continuous,continuous,,1,,
2014,49.5,1,49.6,1,9,continuous,continuous,,1,,
2014,54.2,1,50,1,8,continuous,continuous,,1,,
2014,48.8,1,51,1,3,continuous,continuous,,1,,
2014,48.2,1,49,1,4,continuous,continuous,,1,,
2014,46.8,1,47,1,1,continuous,continuous,,1,,
2014,44.5,1,45,1,3,continuous,continuous,,1,,
2014,37.2,1,40,0,,continuous,continuous,,1,,
2014,43,1,44,0,,continuous,continuous,,1,,
2014,40.7,1,42,0,,continuous,continuous,,1,,
2014,53,1,55,1,4,continuous,continuous,,1,,
2014,59.9,1,60,1,15,continuous,continuous,,1,,
2014,48,1,49.5,1,2,continuous,continuous,,1,,
2014,,,8,0,,,continuous,,1,,
2014,47.3,1,48,1,5,continuous,continuous,,1,,
2014,47.2,1,49.3,1,6,continuous,continuous,,1,,
2014,52.7,1,57,1,12,continuous,continuous,,1,,
2014,48,1,50,1,4,continuous,continuous,,1,,
2014,41,1,43,0,,continuous,continuous,,1,,
2014,53.8,0,,1,17,continuous,dead,,1,,
2014,61.4,1,64.1,1,11,continuous,continuous,,1,,
2014,78,1,78,1,18,continuous,continuous,,1,,
2014,60.8,1,60.6,1,5,continuous,continuous,,1,,
2014,71.4,1,67,1,24,continuous,continuous,,1,,
2014,70.6,1,71,1,13,continuous,continuous,,1,,
2014,76.3,1,77,1,17,continuous,continuous,,1,,
2014,60.3,1,61,1,10,continuous,continuous,,1,,
2014,53.1,1,53.7,1,9,continuous,continuous,,1,,
2014,65.3,1,64,1,10,continuous,continuous,,1,,
