year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,29.4,1,19,0,,continuous,continuous,,1,,
2015,26.6,1,23,0,,continuous,continuous,,1,,
2015,12,1,12,0,,continuous,continuous,,1,,
2015,20,1,18,0,,continuous,continuous,,1,,
2015,24.7,1,26,0,,continuous,continuous,,1,,
2015,26.3,1,27,0,,continuous,continuous,,1,,
2015,18.8,1,21.9,0,,continuous,continuous,,1,,
2015,28.6,1,24.1,0,,continuous,continuous,,1,,
2015,59.2,1,59.7,1,12,continuous,continuous,,1,,
2015,53,1,53,1,8,continuous,continuous,,1,,
2015,51.5,1,52.7,1,9,continuous,continuous,,1,,
2015,49.1,1,49,1,6,continuous,continuous,,1,,
2015,43.5,1,42.7,1,1,continuous,continuous,,1,,
2015,38.1,1,35,0,,continuous,continuous,,1,,
2015,38.9,1,37.5,1,1,continuous,continuous,,1,,
2015,40,1,36.1,1,1,continuous,continuous,,1,,
2015,38.6,1,35.9,0,,continuous,continuous,,1,,
2015,42.4,1,39,0,,continuous,continuous,,1,,
2015,63.8,1,57,1,9,continuous,continuous,,1,,
2015,52.7,1,53.5,1,12,continuous,continuous,,1,,
2015,58.1,1,50.1,1,10,continuous,continuous,,1,,
2015,55.2,1,53.8,1,7,continuous,continuous,,1,,
2015,44.9,1,52.6,1,2,continuous,continuous,,1,,
2015,48.3,1,48.3,1,4,continuous,continuous,,1,,
2015,,,6.6,0,,,continuous,,1,,
2015,41.7,1,41.7,0,,continuous,continuous,,1,,
2015,51.4,1,51.4,1,13,continuous,continuous,,1,,
2015,40.3,1,40.3,1,3,continuous,continuous,,1,,
2015,45.4,1,45.4,1,1,continuous,continuous,,1,,
2015,43.4,1,43.4,0,,continuous,continuous,,1,,
2015,51.3,1,51.3,0,,continuous,continuous,,1,,
2015,44.3,1,44.3,1,1,continuous,continuous,,1,,
2015,30.7,1,30.7,0,,continuous,continuous,,1,,
2015,55.3,1,55.3,1,11,continuous,continuous,,1,,
2015,38.5,1,38.5,1,3,continuous,continuous,,1,,
2015,57.5,1,57.5,1,15,continuous,continuous,,1,,
2015,64,1,60.7,1,15,continuous,continuous,,1,,
2015,61.5,1,59.8,1,14,continuous,continuous,,1,,
2015,61.3,1,58,1,2,continuous,continuous,,1,,
2015,53.5,1,51.9,1,8,continuous,continuous,,1,,
2015,61.4,1,61.4,1,9,continuous,continuous,,1,,
2015,26,1,26,0,,continuous,continuous,,1,,
2015,25.3,1,23.9,0,,continuous,continuous,,1,,
2015,40,1,35.8,0,,continuous,continuous,,1,,
2015,58.5,1,58,1,20,continuous,continuous,,1,,
2015,54,0,,1,15,continuous,dead,,1,,
2015,6.3,1,11.2,0,,continuous,continuous,,1,,
2015,54,1,52.6,1,13,continuous,continuous,,1,,
2015,48,1,48,1,11,continuous,continuous,,1,,
2015,55.5,1,55.5,1,14,continuous,continuous,,1,,
2015,50.2,1,50.2,1,11,continuous,continuous,,1,,
2015,53,1,53,1,9,continuous,continuous,,1,,
2015,42.5,1,42.5,1,4,continuous,continuous,,1,,
2015,51.9,1,51.9,1,6,continuous,continuous,,1,,
2015,50.4,1,52.6,1,4,continuous,continuous,,1,,
2015,47.5,1,47.5,1,6,continuous,continuous,,1,,
2015,49.8,1,49.8,1,7,continuous,continuous,,1,,
2015,51,1,52.6,1,6,continuous,continuous,,1,,
2015,67,1,52.6,1,13,continuous,continuous,,1,,
2015,67.8,1,67.8,1,12,continuous,continuous,,1,,
2015,46.7,1,52.6,0,,continuous,continuous,,1,,
2015,18,1,18,0,,continuous,continuous,,1,,
