year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,41.2,1,44,1,3,continuous,continuous,,1,0,
2014,38.1,1,41.5,0,,continuous,continuous,,1,0,
2014,71.3,1,73.5,1,33,continuous,continuous,,1,0,
2014,79.5,1,80.6,1,51,continuous,continuous,,1,0,
2014,11,1,12.3,0,,continuous,continuous,,1,0,
2014,67.2,1,68.6,1,20,continuous,continuous,,1,0,
2014,65.2,1,70.3,1,17,continuous,continuous,,1,0,
2014,37,1,38.1,0,,continuous,continuous,,1,0,
2014,40.5,1,43.2,1,10,continuous,continuous,,1,0,
2014,61.2,1,62.6,1,1,continuous,continuous,,1,0,
2014,50.3,1,54.6,1,4,continuous,continuous,,1,0,
2014,44.7,1,47,1,15,continuous,continuous,,1,0,
2014,45,1,56.1,0,,continuous,continuous,,1,0,
2014,,,13.1,0,,,continuous,clonal,1,1,1
2014,6,1,8.1,0,,continuous,continuous,,1,0,
2014,46.8,1,47.3,1,10,continuous,continuous,,1,0,
2014,64.8,1,66.3,1,31,continuous,continuous,,1,0,
2014,45.3,1,49,1,10,continuous,continuous,,1,0,
2014,46.3,1,48.5,1,20,continuous,continuous,,1,0,
2014,37.2,1,38.1,0,,continuous,continuous,,1,0,
2014,53,1,55.6,1,18,continuous,continuous,,1,0,
2014,76.5,1,76,1,52,continuous,continuous,,1,0,
2014,27.6,1,30.5,0,,continuous,continuous,,1,0,
2014,40.6,1,42.3,1,24,continuous,continuous,,1,0,
2014,47.9,1,50.8,1,8,continuous,continuous,,1,0,
2014,54.4,1,54.6,1,15,continuous,continuous,,1,0,
2014,61.3,1,63.3,1,17,continuous,continuous,,1,0,
2014,9,1,10,0,,continuous,continuous,,1,0,
2014,30,1,31.4,0,,continuous,continuous,,1,0,
2014,76,1,77.8,1,55,continuous,continuous,,1,0,
2014,56.3,1,60,1,8,continuous,continuous,,1,0,
2014,59,1,63,1,13,continuous,continuous,,1,0,
2014,74.6,1,74.6,1,7,continuous,continuous,,1,0,
2014,45.3,0,,0,,continuous,dead,,1,0,
2014,35,1,37.8,0,,continuous,continuous,,1,0,
2014,,,9,0,,,continuous,clonal,1,1,1
2014,,,7,0,,,continuous,clonal,1,1,1
2014,69.8,1,70,1,20,continuous,continuous,,1,0,
2014,23,1,24.6,0,,continuous,continuous,,1,0,
2014,38.5,1,37.1,1,6,continuous,continuous,,1,0,
2014,53.3,1,54.1,1,15,continuous,continuous,,1,0,
2014,37,1,39.3,1,7,continuous,continuous,,1,0,
2014,11.8,1,12.2,0,,continuous,continuous,,1,0,
2014,18,1,15.7,0,,continuous,continuous,,1,0,
2014,4,1,5.2,0,,continuous,continuous,,1,0,
2014,63,1,65.7,1,22,continuous,continuous,,1,0,
2014,49,1,50.7,1,4,continuous,continuous,,1,0,
2014,42,1,44,0,,continuous,continuous,,1,0,
2014,23,1,25.9,0,,continuous,continuous,,1,0,
2014,63.7,1,66.5,1,21,continuous,continuous,,1,0,
2014,23.1,1,30.9,0,,continuous,continuous,,1,0,
2014,52.5,1,53.6,1,17,continuous,continuous,,1,0,
2014,47.1,1,49.3,1,20,continuous,continuous,,1,0,
2014,39.6,1,42.4,1,4,continuous,continuous,,1,0,
2014,60,1,71.7,1,20,continuous,continuous,,1,0,
2014,54.3,1,67,1,9,continuous,continuous,,1,0,
2014,56.5,1,60.4,1,10,continuous,continuous,,1,0,
2014,53.5,1,56.7,1,22,continuous,continuous,,1,0,
2014,69.4,1,74.6,1,20,continuous,continuous,,1,0,
2014,91.5,1,94.1,1,24,continuous,continuous,,1,0,
2014,35,1,35,0,,continuous,continuous,,1,0,
2014,46.3,1,48.6,1,7,continuous,continuous,,1,0,
2014,44,1,45.2,1,5,continuous,continuous,,1,0,
2014,85,1,87.7,1,9,continuous,continuous,,1,0,
2014,88,1,89.2,0,,continuous,continuous,,1,0,
2014,82,1,85.4,1,37,continuous,continuous,,1,0,
2014,29,1,30.2,0,,continuous,continuous,,1,0,
2014,58,1,57.5,1,6,continuous,continuous,,1,0,
2014,25,1,25,0,,continuous,continuous,,1,0,
2014,86.7,1,89.2,1,21,continuous,continuous,,1,0,
2014,38,1,40.6,1,3,continuous,continuous,,1,0,
2014,65.6,1,66.3,1,22,continuous,continuous,,1,0,
2014,68,1,74,0,,continuous,continuous,,1,0,
2014,70,1,78.3,1,34,continuous,continuous,,1,0,
2014,44,1,45,1,12,continuous,continuous,,1,0,
2014,4,1,4,0,,continuous,continuous,,1,0,
2014,56,1,56,1,35,continuous,continuous,,1,0,
2014,33,1,33,0,,continuous,continuous,,1,0,
2014,40.5,1,51.4,0,,continuous,continuous,,1,0,
2014,77,1,78.8,1,25,continuous,continuous,,1,0,
2014,47.5,1,46.8,1,1,continuous,continuous,,1,0,
2014,13,1,15.5,0,,continuous,continuous,,1,0,
2014,56.6,1,57.5,1,34,continuous,continuous,,1,0,
2014,81.5,1,82.7,1,5,continuous,continuous,,1,0,
2014,,,10.7,0,,,continuous,clonal,1,1,1
2014,55,1,53.5,1,20,continuous,continuous,,1,0,
2014,47.5,1,53,1,3,continuous,continuous,,1,0,
2014,72.6,1,74,0,,continuous,continuous,,1,0,
2014,58.5,1,60.9,1,20,continuous,continuous,,1,0,
2014,72.5,1,74,1,3,continuous,continuous,,1,0,
2014,17,1,14,0,,continuous,continuous,,1,0,
2014,51,1,56.5,1,13,continuous,continuous,,1,0,
2014,52,1,55.5,1,8,continuous,continuous,,1,0,
2014,101,1,111.5,0,,continuous,continuous,,1,0,
2014,38,1,44,1,6,continuous,continuous,,1,0,
