year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,71.8,1,70.9,1,27,continuous,continuous,,1,0,
2015,79.5,1,81,1,50,continuous,continuous,,1,0,
2015,83.2,1,84.2,1,52,continuous,continuous,,1,0,
2015,42,1,48,1,7,continuous,continuous,,1,0,
2015,10.4,1,9.2,0,,continuous,continuous,,1,0,
2015,14.5,1,14.5,0,,continuous,continuous,,1,0,
2015,53.6,1,53.7,1,21,continuous,continuous,,1,0,
2015,74,1,73.5,1,32,continuous,continuous,,1,0,
2015,40.3,1,56,0,,continuous,continuous,,1,0,
2015,29,1,32.8,0,,continuous,continuous,,1,0,
2015,53.9,1,55,1,29,continuous,continuous,,1,0,
2015,45.3,1,45.6,1,25,continuous,continuous,,1,0,
2015,15.8,1,20,0,,continuous,continuous,,1,0,
2015,78,1,83.8,1,47,continuous,continuous,,1,0,
2015,21,1,24.4,0,,continuous,continuous,,1,0,
2015,26.7,1,27.6,0,,continuous,continuous,,1,0,
2015,16,1,18.6,0,,continuous,continuous,,1,0,
2015,15.8,1,18.9,0,,continuous,continuous,,1,0,
2015,46,1,45.8,1,16,continuous,continuous,,1,0,
2015,28.5,1,29.4,0,,continuous,continuous,,1,0,
2015,23,1,31,0,,continuous,continuous,,1,0,
2015,26,1,23.6,0,,continuous,continuous,,1,0,
2015,6.8,1,10,0,,continuous,continuous,,1,0,
2015,14,1,12.2,0,,continuous,continuous,,1,0,
2015,67,1,78,1,25,continuous,continuous,,1,0,
2015,50.5,1,50,1,8,continuous,continuous,,1,0,
2015,14.3,1,13.9,0,,continuous,continuous,,1,0,
2015,58,1,79.8,1,29,continuous,continuous,,1,0,
2015,24.5,1,24.5,0,,continuous,continuous,,1,0,
2015,29,1,27.6,0,,continuous,continuous,,1,0,
2015,25.1,1,24.2,0,,continuous,continuous,,1,0,
2015,56,1,46.3,1,22,continuous,continuous,,1,0,
2015,37,1,41.2,0,,continuous,continuous,,1,0,
2015,54.6,1,54.5,1,28,continuous,continuous,,1,0,
2015,67,1,80,1,32,continuous,continuous,,1,0,
2015,82,1,96.9,1,53,continuous,continuous,,1,0,
2015,,,9.5,0,,,continuous,clonal,1,1,1
2015,,,8.7,0,,,continuous,clonal,1,1,1
2015,14,1,13.4,0,,continuous,continuous,,1,0,
2015,10.2,1,12.8,0,,continuous,continuous,,1,0,
2015,55,1,56.7,1,38,continuous,continuous,,1,0,
2015,29.3,1,32.8,0,,continuous,continuous,,1,0,
2015,55,1,55,1,22,continuous,continuous,,1,0,
2015,47.5,1,47.5,1,24,continuous,continuous,,1,0,
2015,51.5,1,51.5,1,17,continuous,continuous,,1,0,
2015,52,1,52,1,20,continuous,continuous,,1,0,
2015,48.5,1,48.5,1,12,continuous,continuous,,1,0,
2015,50.6,1,61.9,1,17,continuous,continuous,,1,0,
2015,45.8,1,52.5,1,16,continuous,continuous,,1,0,
2015,29.5,1,38.3,0,,continuous,continuous,,1,0,
2015,41.2,1,41,0,,continuous,continuous,,1,0,
2015,34.5,1,33.6,0,,continuous,continuous,,1,0,
2015,17.7,1,18.5,0,,continuous,continuous,,1,0,
2015,12.5,1,20.2,0,,continuous,continuous,,1,0,
2015,16,1,21.5,0,,continuous,continuous,,1,0,
2015,,,7,0,,,continuous,clonal,1,1,1
2015,95.3,1,96.9,1,43,continuous,continuous,,1,0,
2015,32.6,1,31.8,0,,continuous,continuous,,1,0,
2015,75,1,75.8,1,24,continuous,continuous,,1,0,
2015,77.2,1,78.7,1,41,continuous,continuous,,1,0,
2015,48,1,48,1,12,continuous,continuous,,1,0,
2015,79.5,1,84.9,1,52,continuous,continuous,,1,0,
2015,17.5,1,26.7,0,,continuous,continuous,,1,0,
2015,10,1,15.1,0,,continuous,continuous,,1,0,
2015,27,1,37.3,0,,continuous,continuous,,1,0,
2015,34,1,38.3,0,,continuous,continuous,,1,0,
2015,24.3,1,27.6,0,,continuous,continuous,,1,0,
2015,69.8,1,69.3,1,36,continuous,continuous,,1,0,
2015,68.4,1,77,1,4,continuous,continuous,,1,0,
2015,19.8,1,27.1,0,,continuous,continuous,,1,0,
2015,13,1,15.5,0,,continuous,continuous,,1,0,
2015,19,1,22.2,0,,continuous,continuous,,1,0,
2015,13.09,1,15,0,,continuous,continuous,,1,0,
2015,24.3,1,36,0,,continuous,continuous,,1,0,
2015,53.5,1,45.8,1,13,continuous,continuous,,1,0,
2015,15.5,1,15.5,0,,continuous,continuous,,1,0,
2015,64,1,76.7,1,28,continuous,continuous,,1,0,
2015,,,6,0,,,continuous,clonal,1,1,1
2015,43,1,42.3,1,18,continuous,continuous,,1,0,
2015,72,1,84.9,1,35,continuous,continuous,,1,0,
2015,84,1,100,1,26,continuous,continuous,,1,0,
2015,69.5,1,69,1,20,continuous,continuous,,1,0,
2015,9,1,13,0,,continuous,continuous,,1,0,
2015,8.2,1,10,0,,continuous,continuous,,1,0,
2015,9,1,12.2,0,,continuous,continuous,,1,0,
2015,67.7,1,102,1,33,continuous,continuous,,1,0,
2015,34.1,1,45.5,0,,continuous,continuous,,1,0,
2015,26.6,1,26.3,0,,continuous,continuous,,1,0,
2015,34.1,1,38.3,0,,continuous,continuous,,1,0,
2015,,,8,0,,,continuous,clonal,1,1,1
2015,10.4,1,41.7,0,,continuous,continuous,,1,0,
2015,33.4,1,33.5,0,,continuous,continuous,,1,0,
2015,10.4,1,9.5,0,,continuous,continuous,,1,0,
2015,12.9,1,20.2,0,,continuous,continuous,,1,0,
2015,54.4,1,57.7,1,33,continuous,continuous,,1,0,
2015,9,1,19,0,,continuous,continuous,,1,0,
2015,80.4,1,82.5,1,50,continuous,continuous,,1,0,
2015,22,1,28.1,0,,continuous,continuous,,1,0,
2015,7.2,1,10,0,,continuous,continuous,,1,0,
2015,86.9,1,89.1,1,37,continuous,continuous,,1,0,
2015,15.8,1,22.2,0,,continuous,continuous,,1,0,
2015,61.6,1,59,1,25,continuous,continuous,,1,0,
2015,55.6,1,54,1,26,continuous,continuous,,1,0,
2015,54.4,1,46.3,1,12,continuous,continuous,,1,0,
2015,51.5,1,56,1,18,continuous,continuous,,1,0,
2015,36.9,1,36.3,0,,continuous,continuous,,1,0,
2015,58.2,1,58.9,1,31,continuous,continuous,,1,0,
2015,64.4,1,64.2,1,30,continuous,continuous,,1,0,
2015,77.8,1,82.3,1,59,continuous,continuous,,1,0,
2015,10.4,1,12.2,0,,continuous,continuous,,1,0,
