year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,34.2,1,38.3,0,,continuous,continuous,,1,0,
2014,27.4,1,30.1,0,,continuous,continuous,,1,0,
2014,63.7,1,76.4,1,26,continuous,continuous,,1,0,
2014,98.1,1,95.8,1,27,continuous,continuous,,1,0,
2014,55,1,59.9,1,5,continuous,continuous,,1,0,
2014,45.5,1,48.5,1,22,continuous,continuous,,1,0,
2014,61.5,1,69,1,34,continuous,continuous,,1,0,
2014,42.3,1,45.4,1,10,continuous,continuous,,1,0,
2014,45.8,1,53,1,16,continuous,continuous,,1,0,
2014,42,0,,1,8,continuous,dead,,1,0,
2014,72,1,75.9,1,42,continuous,continuous,,1,0,
2014,69,1,73.8,1,36,continuous,continuous,,1,0,
2014,70,1,79.2,1,32,continuous,continuous,,1,0,
2014,54.7,1,55.3,1,25,continuous,continuous,,1,0,
2014,59.6,1,65,1,41,continuous,continuous,,1,0,
2014,34.6,1,38,1,8,continuous,continuous,,1,0,
2014,46.9,1,51.6,1,14,continuous,continuous,,1,0,
2014,3,1,7.5,0,,continuous,continuous,,1,0,
2014,2,1,3,0,,continuous,continuous,,1,0,
2014,28.9,1,28.9,0,,continuous,continuous,,1,0,
2014,64,1,67.4,1,33,continuous,continuous,,1,0,
2014,25.7,1,28,0,,continuous,continuous,,1,0,
2014,51.2,1,55.5,1,16,continuous,continuous,,1,0,
2014,70,1,75.2,1,20,continuous,continuous,,1,0,
2014,75.5,1,80.7,1,37,continuous,continuous,,1,0,
2014,62,1,65,1,15,continuous,continuous,,1,0,
2014,83,1,88.5,1,37,continuous,continuous,,1,0,
2014,47.6,1,50.6,1,4,continuous,continuous,,1,0,
2014,55,1,61.9,1,8,continuous,continuous,,1,0,
2014,64,1,63.4,1,11,continuous,continuous,,1,0,
2014,49.8,1,56,1,13,continuous,continuous,,1,0,
2014,48.55,1,62.7,1,21,continuous,continuous,,1,0,
2014,63,1,68.6,1,44,continuous,continuous,,1,0,
2014,41.3,1,48.8,1,6,continuous,continuous,,1,0,
2014,52.7,1,53.7,1,8,continuous,continuous,,1,0,
2014,53.3,1,58.7,1,35,continuous,continuous,,1,0,
2014,52.4,1,54.9,1,20,continuous,continuous,,1,0,
2014,56.1,1,61.3,1,32,continuous,continuous,,1,0,
2014,58.1,1,60.9,1,19,continuous,continuous,,1,0,
2014,9,1,13.8,0,,continuous,continuous,,1,0,
2014,30,1,30,0,,continuous,continuous,,1,0,
2014,88,1,80.2,1,38,continuous,continuous,,1,0,
2014,65,1,67.6,1,24,continuous,continuous,,1,0,
2014,73.2,1,72.8,1,79,continuous,continuous,,1,0,
2014,70.1,1,71.3,1,26,continuous,continuous,,1,0,
2014,45,1,52.4,0,,continuous,continuous,,1,0,
2014,58.2,1,55,1,14,continuous,continuous,,1,0,
2014,56.6,1,59.4,1,27,continuous,continuous,,1,0,
2014,65.6,1,70.1,1,32,continuous,continuous,,1,0,
