year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,9,1,10.4,0,,continuous,continuous,,1,0,
2014,21,1,24.8,0,,continuous,continuous,,1,0,
2014,68.3,1,70,1,6,continuous,continuous,,1,0,
2014,72.4,1,75.5,1,4,continuous,continuous,,1,0,
2014,64.2,1,64.2,1,12,continuous,continuous,,1,0,
2014,60.7,1,66.9,1,11,continuous,continuous,,1,0,
2014,78.7,1,81.7,1,13,continuous,continuous,,1,0,
2014,58.9,1,60.1,1,4,continuous,continuous,,1,0,
2014,68.7,1,74.5,1,13,continuous,continuous,,1,0,
2014,23.1,1,25.5,0,,continuous,continuous,,1,0,
2014,33.7,1,33.9,0,,continuous,continuous,,1,0,
2014,64.2,1,67.2,1,15,continuous,continuous,,1,0,
2014,9,1,10.4,0,,continuous,continuous,,1,0,
2014,34,1,34,0,,continuous,continuous,,1,0,
2014,50.2,1,67,1,9,continuous,continuous,,1,0,
2014,78,1,78,1,21,continuous,continuous,,1,0,
2014,62,1,63,1,16,continuous,continuous,,1,0,
2014,17,1,17,0,,continuous,continuous,,1,0,
2014,71,1,74,1,7,continuous,continuous,,1,0,
2014,41.2,1,41,1,12,continuous,continuous,,1,0,
2014,80.4,1,80,1,48,continuous,continuous,,1,0,
2014,3,1,5,0,,continuous,continuous,,1,0,
2014,36.3,1,26.7,0,,continuous,continuous,,1,0,
2014,13,1,12.9,0,,continuous,continuous,,1,0,
2014,5,1,7,0,,continuous,continuous,,1,0,
2014,12.2,1,11,0,,continuous,continuous,,1,0,
2014,8,1,9,0,,continuous,continuous,,1,0,
2014,70.3,1,71.9,1,7,continuous,continuous,,1,0,
2014,19,1,26,0,,continuous,continuous,,1,0,
2014,69.8,1,72,1,27,continuous,continuous,,1,0,
2014,35,1,38,0,,continuous,continuous,,1,0,
2014,22,1,25.3,0,,continuous,continuous,,1,0,
2014,39.2,1,41,1,3,continuous,continuous,,1,0,
2014,61.2,1,64.2,1,10,continuous,continuous,,1,0,
2014,43.3,1,47.2,1,2,continuous,continuous,,1,0,
2014,53.2,1,71.9,1,13,continuous,continuous,,1,0,
2014,20.2,1,24.5,0,,continuous,continuous,,1,0,
2014,46.5,1,49.9,1,3,continuous,continuous,,1,0,
2014,61.7,1,69.4,1,19,continuous,continuous,,1,0,
2014,56.7,1,57.7,1,12,continuous,continuous,,1,0,
2014,31.3,1,35.9,0,,continuous,continuous,,1,0,
2014,44.1,1,48.7,1,3,continuous,continuous,,1,0,
2014,21.8,1,24.8,0,,continuous,continuous,,1,0,
2014,12,1,10.4,0,,continuous,continuous,,1,0,
2014,34.4,1,36,0,,continuous,continuous,,1,0,
2014,27,1,33,0,,continuous,continuous,,1,0,
2014,65.6,1,66.4,1,10,continuous,continuous,,1,0,
2014,42.7,1,35,0,,continuous,continuous,,1,0,
2014,17.7,1,19,0,,continuous,continuous,,1,0,
2014,36.3,1,38,0,,continuous,continuous,,1,0,
2014,82.2,1,86.8,1,24,continuous,continuous,,1,0,
2014,13.7,1,15,0,,continuous,continuous,,1,0,
2014,38,1,42.5,0,,continuous,continuous,,1,0,
2014,8,1,7,0,,continuous,continuous,,1,0,
2014,37.8,1,42.4,0,,continuous,continuous,,1,0,
